155,57.21,36.82,27.34,24.22
156,57.21,36.43,27.34,23.90
157,57.02,36.94,27.34,23.68
158,57.21,37.07,27.12,24.22
159,57.21,36.82,27.34,24.00
160,57.02,37.46,27.45,23.79
161,57.02,37.59,27.45,24.22
162,56.83,37.33,27.56,24.33
163,56.07,37.46,27.56,24.22
164,56.64,37.46,27.78,24.22
165,56.45,37.98,27.90,24.44
166,56.45,37.98,27.90,24.33
167,56.45,37.85,27.90,24.33
168,55.88,37.85,27.67,24.44
169,56.64,37.85,27.90,24.44
170,56.45,37.59,28.01,24.44
171,56.07,38.24,28.12,24.54
172,56.64,38.24,28.23,24.22
173,56.83,38.24,28.01,24.11
174,56.83,38.37,28.12,24.11
175,56.07,38.24,28.12,23.68
176,56.83,38.11,28.01,24.54
177,56.83,37.98,28.01,24.11
178,56.83,37.85,27.78,24.22
179,57.02,37.85,28.12,24.65
180,57.02,37.72,28.12,24.65
181,57.02,38.11,28.46,24.65
182,57.21,38.37,28.57,24.87
183,57.02,38.50,28.80,24.65
184,57.21,38.77,29.02,24.76
185,57.02,38.64,29.14,24.87
186,57.60,39.03,28.46,25.09
187,57.60,39.17,28.80,25.09
188,57.02,39.03,29.14,25.20
189,57.80,38.64,29.14,25.20
190,57.41,38.37,29.14,25.09
191,57.60,38.24,29.02,25.09
192,57.41,38.37,29.02,25.09
193,57.60,38.64,29.02,25.20
194,57.02,37.59,29.02,25.20
195,57.60,38.64,29.14,25.09
196,57.60,38.64,29.02,25.31
197,57.60,38.90,29.36,25.31
198,56.83,38.90,29.36,25.31
199,57.80,38.77,29.25,25.31
200,57.80,38.64,28.80,25.31
201,57.99,38.64,29.25,25.31
202,57.99,38.50,28.91,25.31
203,57.80,38.64,29.36,25.31
204,57.80,38.37,29.14,24.98
205,58.39,38.90,29.36,25.31
206,58.59,39.03,29.48,25.31
207,58.19,39.17,29.59,25.42
208,58.99,39.70,29.82,25.52
209,58.59,39.84,29.94,25.52
210,58.79,40.11,30.05,25.63
211,58.79,40.38,30.28,25.74
212,58.59,40.66,30.05,25.52
213,58.39,40.38,30.51,25.63
